process_name,process_id,process_location,process_description,exchange_flow_name,exchange_flow_id,exchange_amount,exchange_unit,exchange_ecoinvent_type,_old_process_id,_old_exchange_flow_id,orig_process_id,orig_exchange_id,allocation_factor,allocation_type
"coal extraction and processing - Import, BIT, Surface",faa6de27-3440-399a-b88c-1d9789120283,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",faa6de27-3440-399a-b88c-1d9789120283.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,faa6de27-3440-399a-b88c-1d9789120283,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Central Appalachia, BIT, Underground",59d8e54e-67c5-3f19-811f-c3cce748c840,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",59d8e54e-67c5-3f19-811f-c3cce748c840.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,59d8e54e-67c5-3f19-811f-c3cce748c840,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - Northern Appalachia, BIT, Surface",288e6c51-57dc-36cd-887b-22a107abe8fe,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",288e6c51-57dc-36cd-887b-22a107abe8fe.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,288e6c51-57dc-36cd-887b-22a107abe8fe,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - West/Northwest, BIT, Underground",53e4de5d-203b-376f-beb3-bbdc9fd1ec03,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",53e4de5d-203b-376f-beb3-bbdc9fd1ec03.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,53e4de5d-203b-376f-beb3-bbdc9fd1ec03,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"coal extraction and processing - West/Northwest, SUB, Surface",68c77042-3729-3415-8a08-6ebd96810aba,US,"The cradle-to-gate inventory for production of coal aggregated to basin, mine type, and coal type groups. For coal extraction there are two major processes that form the basis of the coal life cycle model - underground and surface coal mining. These are connected to auxiliary processes that provide inventories from things like coal mine methane emissions, water use, water emissions, etc. All processes use parameters that allow some differentiation based on region or coal type. Details on the coal modeling can be found in the NETL Coal Baseline report published in 2023: https://doi.org/10.2172/2370100. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","coal, processed, at mine",68c77042-3729-3415-8a08-6ebd96810aba.13241d7e-c20b-3428-82de-fab31eb4a055,1.0,kg,production,68c77042-3729-3415-8a08-6ebd96810aba,13241d7e-c20b-3428-82de-fab31eb4a055,,,1.0,
"Electricity; at user; consumption mix - Gridforce Energy Management, LLC - BA",0c3987d4-e7b0-3974-9188-fc54807a5479,"Gridforce Energy Management, LLC","Electricity distribution to end user in the Gridforce Energy Management, LLC region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","Electricity, AC, 120 V",0c3987d4-e7b0-3974-9188-fc54807a5479.3bca3bc6-2443-3184-8976-72dc98d258f6,1.0,MJ,production,0c3987d4-e7b0-3974-9188-fc54807a5479,3bca3bc6-2443-3184-8976-72dc98d258f6,,,1.0,
Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,1cd12adb-bada-3982-af8b-421029e24717,Seminole Electric Cooperative,Electricity distribution to end user in the Seminole Electric Cooperative region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.,"Electricity, AC, 120 V",1cd12adb-bada-3982-af8b-421029e24717.3bca3bc6-2443-3184-8976-72dc98d258f6,1.0,MJ,production,1cd12adb-bada-3982-af8b-421029e24717,3bca3bc6-2443-3184-8976-72dc98d258f6,,,1.0,
"Electricity; at user; consumption mix - Dominion Energy South Carolina, Inc. - BA",3dc3b093-d501-3c2f-a766-5c5f3912d3fd,"Dominion Energy South Carolina, Inc.","Electricity distribution to end user in the Dominion Energy South Carolina, Inc. region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.","Electricity, AC, 120 V",3dc3b093-d501-3c2f-a766-5c5f3912d3fd.3bca3bc6-2443-3184-8976-72dc98d258f6,1.0,MJ,production,3dc3b093-d501-3c2f-a766-5c5f3912d3fd,3bca3bc6-2443-3184-8976-72dc98d258f6,,,1.0,
Electricity; at user; consumption mix - Nevada Power Company - BA,028a2924-23c2-3a6a-973c-469af9a3126d,Nevada Power Company,Electricity distribution to end user in the Nevada Power Company region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.,"Electricity, AC, 120 V",028a2924-23c2-3a6a-973c-469af9a3126d.3bca3bc6-2443-3184-8976-72dc98d258f6,1.0,MJ,production,028a2924-23c2-3a6a-973c-469af9a3126d,3bca3bc6-2443-3184-8976-72dc98d258f6,,,1.0,
Electricity; at user; consumption mix - Bonneville Power Administration - BA,20f3fb51-38e8-3f41-bfe9-c3baed85dbef,Bonneville Power Administration,Electricity distribution to end user in the Bonneville Power Administration region. This process was created with ElectricityLCI (https://github.com/USEPA/ElectricityLCI) version 2.0.0 using the ELCI_2022 configuration.,"Electricity, AC, 120 V",20f3fb51-38e8-3f41-bfe9-c3baed85dbef.3bca3bc6-2443-3184-8976-72dc98d258f6,1.0,MJ,production,20f3fb51-38e8-3f41-bfe9-c3baed85dbef,3bca3bc6-2443-3184-8976-72dc98d258f6,,,1.0,
