domain,exchange_flow_name,exchange_supplying_process_id,exchange_supplying_process_location,exchange_supplying_process_name,info_process_id,info_process_location,info_process_name,info_unit,n_row_amount,n_row_unit,process_name,reason
technosphere,Recycled aluminum scrap,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.156869727480078,kg,"Aluminum, sheet, coated, at plant",Cutoff dummy flow skipped
technosphere,Compressed Gases,Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.26,USD,"Argon, liquid Bridge; USLCI to USEEIO",Cutoff dummy flow skipped
technosphere,"Transformation, to forest, used",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,2.64985920364519e-05,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, to unspecified, natural",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.69038434299179e-08,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, to shrub land, sclerophyllous",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,3.7604445966414404e-09,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from arable, irrigated, intensive",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.0001929985456098,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, to unspecified, natural",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.38872980134717e-06,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from forest, natural",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,3.20865417317419e-07,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from arable, irrigated, intensive",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.0003010238963921,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from unspecified, natural",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.69038434299179e-08,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from forest, natural",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,2.42740659107271e-06,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, to forest, used",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,0.0001589915522129,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from forest, natural",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,4.55248991639631e-10,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from grassland",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,5.60677920704837e-17,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from forest, used",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,2.48770401127093e-10,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, to forest, used",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,3.97478879934977e-05,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, to shrub land, sclerophyllous",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,8.22820375299054e-10,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, to shrub land, sclerophyllous",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,2.40113110260659e-10,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
technosphere,"Transformation, from forest, natural",Error:Cutoff dummy flow,Error:This flow is missing defaultProvider,Error:This flow is missing defaultProvider,,,,,1.29980560457514e-09,m2,"Asphalt binder, 0.5% polyphosphoric acid (PPA), consumption mix, at terminal, from crude oil, 0.5% polyphosphoric acid",Cutoff dummy flow skipped
