activity_name,activity_db,activity_code,reference_product,activity_unit,location,production_amount,functional_unit_amount,method_1,method_2,method_3,method_str,method_unit,lcia_score
"Automotive painting, electrocoating, per m2",uslci_database529,65d88b9a-d73a-354d-b9ff-c8503ec42c78,"Automotive painting, electrocoating, per m2",m2,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.07412881681638049
Styrene-butadiene-styrene (SBS) block copolymer; average consumption mix; at plant,uslci_database529,ff8209b1-8045-33a2-97fa-10176c57b0bd,Styrene-butadiene-styrene (SBS) block copolymer; at plant,kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.737383207548988
natural gas extraction and processing - Uinta,uslci_database529,aa8dfe80-7e48-379b-9a39-8ced9be15b69,"natural gas, through transmission",MJ,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.009672138338961552
"Petroleum refined, for energy use, at plant",uslci_database529,3ca7a144-e2f3-4963-8c63-768cf0853cee,"Petroleum refined, to energy use, at refinery",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.7836046241839508
"Electricity; at grid; generation mix - Alcoa Power Generating, Inc. - Yadkin Division",uslci_database529,7a751006-993e-3854-a2aa-8663f57e016c,"Electricity, AC, 2300-7650 V",MJ,"Alcoa Power Generating, Inc. - Yadkin Division",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0011973384534940124
power plant construction - ngcc_const - Duke Energy Carolinas,uslci_database529,dc6c3b6e-4706-3dfe-9e7a-d1ef6d4761fc,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,9443.378890703203
"Anthracite coal, combusted in industrial boiler",uslci_database529,27e8fce4-a5c1-37af-84b9-763582a5ca3e,"Anthracite coal, combusted in industrial boiler",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,3.498316564364655
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,uslci_database529,e2bab9a4-cda7-3da9-b44d-6d81ef8e71d0,"Electricity, AC, 2300-7650 V",MJ,Western Area Power Administration - Desert Southwest Region,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.12433694375413572
"Wood fuel, MDF, generated on-site, combusted in industrial boiler",uslci_database529,2fdc10ce-f75d-30d0-b1e7-672af0eb98fe,"Wood fuel, MDF, generated on-site, combusted in industrial boiler",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,3.0758292873275677
"Transport, single unit truck, long-haul, diesel powered, West North Central",uslci_database529,2afa4806-2633-3beb-8842-13326d66ed0a,"Transport, single unit truck, long-haul, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.10293928833856204
coal transport - Barge,uslci_database529,24edfdfe-02d6-3f24-8323-69563f33ac1b,"coal, transported",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.8872049508841742
Electricity - OTHF - Nevada Power Company,uslci_database529,1b4fafff-4803-31fc-814c-22aedabf5b45,"Electricity, AC, 2300-7650 V",MJ,Nevada Power Company,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Paper, freesheet, uncoated, average production, at mill",uslci_database529,732a5578-1750-3738-b0f2-607106574358.60ecb9c4-23ed-3332-8693-d13a4d279bb4,"Tall oil, at uncoated freesheet mill",kg,Northern America,21.818,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,137.08293414201444
power plant construction - ngcc_const - Seminole Electric Cooperative,uslci_database529,08047cd5-14f5-33cb-b925-2c4588ed86b8,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,22951.017492127743
"Anode, at plant",uslci_database529,caefe875-8560-3e7f-a8b7-a002485f75d6,"Anode, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.1653178986507577
Electricity; at grid; generation mix - Avista Corporation,uslci_database529,2fe4f601-2472-3bec-9032-de659d9a9a7a,"Electricity, AC, 2300-7650 V",MJ,Avista Corporation,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.057013564042451954
"Electricity - SOLAR - Puget Sound Energy, Inc.",uslci_database529,a844eac3-3fe8-37c4-9b1a-5edb3a096918,"Electricity, AC, 2300-7650 V",MJ,"Puget Sound Energy, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Polyethylene, low-density, LDPE, virgin resin, at plant",uslci_database529,6a12cba1-889d-4515-90f8-89feb8d662f2,"Polyethylene, low-density, LDPE, virgin resin, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.4818337310826655
"Cellulosic fiberboard, uncoated, at plant",uslci_database529,cced9535-72f6-3b3a-b3c0-ce21b98eea2b.b16b7cc3-bf0c-33fe-b598-15ccebbe3981,"Culled boards, wood fuel, at cellulosic fiberboard plant",kg,Northern America,264.3000000000054,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.223004204778675
"Scanner, desktop, i2900",uslci_database529,873e9087-c13b-34fa-859e-c0397d27cb66,"Scanner, desktop, i2900",Item(s),Global,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,32.935960680649636
Electricity; at grid; generation mix - Hawaiian Electric Co Inc,uslci_database529,8caa6bbc-3444-36c1-8e6a-72fa111cb682,"Electricity, AC, 2300-7650 V",MJ,Hawaiian Electric Co Inc,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.015553365498152144
power plant construction - solar_pv_const - Duke Energy Progress West,uslci_database596,6af03627-2042-348a-9ee8-2ac96fc6b6fc,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,42.15406938373804
power plant construction - ngcc_const - Florida Municipal Power Pool,uslci_database596,b02ee182-7702-3863-ab30-0880a89e9cd4,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,13652.634276841385
"Transport, single unit truck, short-haul, compressed natural gas powered",uslci_database596,c4e79cfb-ac87-39ce-9dbb-7e7b689a9949,"Transport, single unit truck, short-haul, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.15957496331133322
Electricity; at grid; consumption mix - Northwest - FERC,uslci_database596,c2e8c2db-293a-346b-ad2d-f0a261382b44,"Electricity, AC, 2300-7650 V",MJ,Northwest,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.09272663085378616
"Electricity - WIND - Electric Reliability Council of Texas, Inc.",uslci_database596,abd465ac-de15-3efb-85ce-e30843d31abf,"Electricity, AC, 2300-7650 V",MJ,"Electric Reliability Council of Texas, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.004088070281104314
Electricity; at grid; generation mix - Florida Power & Light Co.,uslci_database596,7d7e6e63-f161-3e98-8983-8ae53a764033,"Electricity, AC, 2300-7650 V",MJ,Florida Power & Light Co.,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.09615395661119212
"Bark, softwood, average, state or private dry forest, at forest road, INW",uslci_database596,cb5600fe-948c-3fd0-80f3-35cf5b0d7832,Bark; softwood; average; state or private dry forest; at forest road,kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
Zeolite Bridge; USLCI to USEEIO,uslci_database596,a1c4409b-9e9e-4f3b-bec0-f319fef1e3c5,"Zeolite, powder, at plant",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
Electricity - OIL - Arizona Public Service Company,uslci_database596,6f202a81-10b5-3f63-a8b6-515c53f848f1,"Electricity, AC, 2300-7650 V",MJ,Arizona Public Service Company,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.779403217551212
"Transport, single unit truck, short-haul, electricity powered, Northeast",uslci_database596,103e5c10-96c9-3a1f-bf8b-7054873ee7ec,"Transport, single unit truck, short-haul, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.05312371075980494
"Acetone, liquid Bridge; USLCI to USEEIO",uslci_database596,6eda8c79-9c77-42e3-a706-27d20b38f927,"Acetone, liquid",m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Transport, combination truck, long-haul, electricity powered, Central",uslci_database596,fd86b97d-1190-35fb-b3a6-61a4e290eedf,"Transport, combination truck, long-haul, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.11030384472162685
Electricity; at grid; consumption mix - City of Homestead - BA,uslci_database596,d4e93396-91cd-3e6e-8519-32a9db93fbad,"Electricity, AC, 2300-7650 V",MJ,City of Homestead,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Transport, combination truck, short-haul, diesel powered, Northeast",uslci_database596,9be99f9e-d855-3f70-b879-9cba92fae8ee,"Transport, combination truck, short-haul, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.08866262707622113
power plant construction - ngcc_const - Progress Energy Florida,uslci_database596,447df1db-0f85-331c-94d0-14248a630e59,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,13028.050949936041
"Transport, combination truck, short-haul, diesel powered, South",uslci_database596,fe497d56-db73-3867-9356-ac5631405ab1,"Transport, combination truck, short-haul, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.08835092837475611
power plant construction - ngcc_const - Southwest Power Pool,uslci_database596,f85d9e2f-f037-3149-90a0-1571cf4b579a,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,11264.746862373375
"Paper, mechanical, uncoated, average production, at mill",uslci_database596,285cfc08-fc23-3bfc-b304-1bb4a60d2f8a.0c271dfc-bbe6-33a3-b79c-5a9d20a22a7b,"Turpentine, at uncoated mechanical paper mill",kg,Northern America,0.27714,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,4866.077848503643
"Heat, drying veneer, hardwood, at veneer mill, E",uslci_database596,396f5200-0194-30c3-8b5f-96a33bde9c6c.b783147a-f7a9-3bbf-aa84-67a85f4959fc,Heat; drying stain; at engineered wood flooring mill,MJ,US,6413.500000000002,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.08820485084629125
Electricity; at user; consumption mix - NYISO - FERC,uslci_database596,f2555376-8c0d-3614-9832-a62b9dae1e7c,"Electricity, AC, 120 V",MJ,NYISO,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.07288481090101132
"Corrugated product, average production, at mill",uslci_database596,226ed3c2-e020-4c95-b1fc-4559fc2d18ac,"Corrugated product, average production, at mill",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.111066813429863
"Transport, combination truck, diesel powered, West",uslci_database596,f981613a-477d-3be8-9285-9e4779d1e0e8,"Transport, combination truck, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.08893404273652393
"Transport, combination truck, long-haul, compressed natural gas powered, Northeast",uslci_database596,c1fcb068-310a-34da-9021-f61d875d27de,"Transport, combination truck, long-haul, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.06884923664149721
"Metal panels, wall, at plant",uslci_database596,7ba5512f-6769-3c2f-a676-75d2b860f4f5,"Metal panels, wall, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.6434961154350516
"Transport, single unit truck, gasoline powered",uslci_database596,d397dd56-dc53-37a1-956b-5da3aaa81a6f,"Transport, single unit truck, gasoline powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.12701172343244962
"Electricity, alumina refining regions",uslci_database596,a6260670-e98e-3917-98bd-c14acb79fdf7,"Electricity, alumina refining regions",kWh,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.7227976642105842
"power plant construction - ngcc_const - Midcontinent Independent Transmission System Operator, Inc..",uslci_database596,7eba90e9-d048-3708-8a85-2951c28e562c,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,11220.90471349565
"Wood fuel, hardwood, generated at mill, combusted in industrial boiler, E",uslci_database596,a555a537-a0f1-3e54-9008-1d56c5e342a6,Wood fuel; hardwood; generated at mill; combusted in industrial boiler,kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.8790998824205758
"Transport, intercity bus, diesel powered, Hawaii",uslci_database596,873b8879-eb22-3c60-b224-1a3aa8f2eadd,"Transport, intercity bus, diesel powered",p*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.05296219487116397
Electricity - WIND - PacifiCorp East,uslci_database596,503f1ece-ede0-3c82-b52b-e65d13c8f697,"Electricity, AC, 2300-7650 V",MJ,PacifiCorp East,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.004529589373762705
"Electricity - BIOMASS - Duke Energy Florida, Inc.",uslci_database596,11e19306-f965-3911-9e07-a598e186be84,"Electricity, AC, 2300-7650 V",MJ,"Duke Energy Florida, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.18858553405812017
"power plant construction - wind_const - Electric Reliability Council of Texas, Inc.",uslci_database596,5b43c38e-3d21-336e-834e-e00369abf38f,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,13.974970238989453
power plant construction - coal_const - Louisville Gas and Electric Company and Kentucky Utilities Company,uslci_database596,baf8d039-24f4-3918-ac32-49fb1f15565c,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,24441.688223799854
"Pulpwood, softwood, national forest, average, at forest road, INW",uslci_database596,20b49008-b007-3407-95b0-92b796e5e2c0,Pulpwood; softwood; national forest; average; at forest road,m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Wood Combusted, at boiler, at hardboard mill",uslci_database596,f3b8fc97-f519-3da0-80de-72a7d5551fda.a7c46735-ccde-3b61-8a9a-23810a8683b9,"Wood Combusted, at boiler, at hardboard mill",kg,Northern America,1.0190969060508615,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1.834637896254519
"Slack wax, at plant, US SE",uslci_database596,2c79b9d3-e5f9-34a8-990e-b7d6f9e4dd08,Slack wax; at plant,kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.6998197796121266
natural gas extraction and processing - South Oklahoma,uslci_database596,7f523516-3971-3241-b283-d230aba8887e,"natural gas, through transmission",MJ,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.014797091452577966
Drinking water treatment; Sedimentation infrastructure; at plant,uslci_database596,f5558c59-7afd-3000-ae7a-68afc1d0513f,Drinking water treatment; Sedimentation infrastructure,m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,8.389619839532613e-05
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",uslci_database596,b522a7b8-9de1-3fcb-9802-28b1cf893d0e,"Electricity, AC, 120 V",MJ,"Southern Company Services, Inc. - Trans",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.14320361590180086
Electricity - GAS - Southwest Power Pool,uslci_database596,0a76df08-dbe9-3247-b597-2e318cfa8cbd,"Electricity, AC, 2300-7650 V",MJ,Southwest Power Pool,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.1576566962847938
Electricity - MIXED - New York Independent System Operator,uslci_database596,350f9d1d-9c1b-3c18-975e-f7f4b330d944,"Electricity, AC, 2300-7650 V",MJ,New York Independent System Operator,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.21131709855611083
Electricity; at grid; generation mix - Louisville Gas and Electric Company and Kentucky Utilities Company,uslci_database596,b09cf686-5605-33b1-bd2a-c1002bf0fb33,"Electricity, AC, 2300-7650 V",MJ,Louisville Gas and Electric Company and Kentucky Utilities Company,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.24882443232369028
"Electricity - WIND - Puget Sound Energy, Inc.",uslci_database596,9c6dfa39-1e0c-3212-9106-fc5bf346f29c,"Electricity, AC, 2300-7650 V",MJ,"Puget Sound Energy, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.004540326411364397
Electricity - COAL - PacifiCorp East,uslci_database596,b53e7084-3b28-35b9-9e5e-4e08c6d24f76,"Electricity, AC, 2300-7650 V",MJ,PacifiCorp East,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.298373954646238
"power plant construction - wind_const - Associated Electric Cooperative, Inc.",uslci_database596,5e357fba-c7d7-3d9c-a80e-f4b659e8a7ff,power plant construction,Item(s),US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,16.957274451663913
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,uslci_database596,c12cb932-2768-30c9-9393-663f0cfaed7b,"Electricity, AC, 2300-7650 V",MJ,Florida Power & Light Co.,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.1004379998713656
"Transport, single unit truck, short-haul, electricity powered, South",uslci_database596,7063885b-47e5-31de-a984-6765f39e1387,"Transport, single unit truck, short-haul, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.05107705342433337
"Aluminum, secondary, ingot, at plant, 1998",uslci_database596,f525f32d-e3e4-3434-883d-e4b224a47524,"Aluminum, secondary, ingot, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.6196911805665996
