activity_name,activity_db,activity_code,reference_product,activity_unit,location,production_amount,functional_unit_amount,method_1,method_2,method_3,method_str,method_unit,lcia_score
"Aluminum, secondary, ingot, from automotive scrap, at plant",uslci_database529,3d53c055-f03b-381f-966e-6d61abbe88a0,"Aluminum, secondary, ingot, from automotive scrap, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.8328112078851357
"Natural gas, combusted in industrial boiler, at hydrocracker, for propylene",uslci_database529,0f528ea6-57a9-365a-a4af-4132ebe27cae,"Natural gas, combusted in industrial boiler, at hydrocracker, for propylene",m3,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,6.366411232410452
"Transport, pipeline, natural gas",uslci_database529,57cdac3b-a289-330e-8e55-6b7e2c6885fb,"Transport, pipeline, natural gas",t*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.027489006759560394
"Transport, combination truck, compressed natural gas powered, Central",uslci_database529,7f4b827d-fd21-3b86-8be6-a02b70c48432,"Transport, combination truck, compressed natural gas powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0710011322598516
"Transport, single unit truck, short-haul, diesel powered, South",uslci_database529,cdbace4b-f0cb-3bbf-99e6-b1291b558413,"Transport, single unit truck, short-haul, diesel powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.11305391872349733
"Corn wet milling, operations, AP-42",uslci_database529,c7fec37a-a023-3563-84d6-fa33a6b19f2f,"Corn wet milling, operations, AP-42",kg,Northern America,2000.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0
"Transport, school bus, diesel powered, South",uslci_database529,19cb866e-1cfc-3007-b64e-5c5c75492cff,"Transport, school bus, diesel powered",p*km,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.014613053815569162
Electricity; at user; consumption mix - Hawaii - FERC,uslci_database529,ef14ea87-db02-3075-8e45-fd1601830f89,"Electricity, AC, 120 V",MJ,Hawaii,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.016393987334696918
"Transport, single unit truck, gasoline powered",uslci_database529,d397dd56-dc53-37a1-956b-5da3aaa81a6f,"Transport, single unit truck, gasoline powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.12701172343244962
"Polypropylene, PP, virgin resin, at plant",uslci_database529,2e8facf6-46aa-4ddb-95de-a4e2a00eb2bb,"Polypropylene, PP, virgin resin, at plant",kg,Northern America,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,2.1493168504179496
"Mixed recyclables, recovered for material recycling facility (MRF)",uslci_database529,e93ae1c1-8454-328d-aef7-3698311ae06a,"Mixed recyclables, for material recycling facility (MRF)",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.07130676268767917
