id1,id2,flow,unit,description,type,emission_id,database,,,
"('biosphere3', 'd21da01e-f96f-4db5-9746-7b70db8a1f2c')",d21da01e-f96f-4db5-9746-7b70db8a1f2c,"1,4-Butanediol",kilogram,"air; low population density, long-term",emission,d21da01e-f96f-4db5-9746-7b70db8a1f2c,biosphere3,,,
"('biosphere3', '564dde7f-e713-4baf-84aa-7a11ffa7e2cd')",564dde7f-e713-4baf-84aa-7a11ffa7e2cd,"1,4-Butanediol",kilogram,"water; ground-, long-term",emission,564dde7f-e713-4baf-84aa-7a11ffa7e2cd,biosphere3,,,
"('biosphere3', 'd6911d36-3fec-41fe-8ef9-540f6543a240')",d6911d36-3fec-41fe-8ef9-540f6543a240,"1,4-Butanediol",kilogram,water; surface water,emission,d6911d36-3fec-41fe-8ef9-540f6543a240,biosphere3,,,
"('biosphere3', '09db39be-d9a6-4fc3-8d25-1f80b23e9131')",09db39be-d9a6-4fc3-8d25-1f80b23e9131,"1,4-Butanediol",kilogram,air,emission,09db39be-d9a6-4fc3-8d25-1f80b23e9131,biosphere3,,,
"('biosphere3', '90653a29-2f53-4b1b-88bd-9ae2fe64a8d6')",90653a29-2f53-4b1b-88bd-9ae2fe64a8d6,"1,4-Butanediol",kilogram,air; lower stratosphere + upper troposphere,emission,90653a29-2f53-4b1b-88bd-9ae2fe64a8d6,biosphere3,,,
"('biosphere3', 'd835b7aa-288b-4b3a-966b-3f64f36ed220')",d835b7aa-288b-4b3a-966b-3f64f36ed220,"1,4-Butanediol",kilogram,water,emission,d835b7aa-288b-4b3a-966b-3f64f36ed220,biosphere3,,,
"('biosphere3', 'f9ba52c4-ffe0-53fc-9724-6c1daebcbc1c')",f9ba52c4-ffe0-53fc-9724-6c1daebcbc1c,"2-Amino-3-chloro-1,4-naphthoquinone",kilogram,soil; agricultural,emission,f9ba52c4-ffe0-53fc-9724-6c1daebcbc1c,biosphere3,,,
"('biosphere3', '22d1d385-5aa4-404d-8c14-2680ce4accb0')",22d1d385-5aa4-404d-8c14-2680ce4accb0,2-Aminopropanol,kilogram,water; ground-,emission,22d1d385-5aa4-404d-8c14-2680ce4accb0,biosphere3,,,
"('biosphere3', 'd37d4cea-4096-4303-8d9d-96e48b8f9ff0')",d37d4cea-4096-4303-8d9d-96e48b8f9ff0,2-Aminopropanol,kilogram,"water; ground-, long-term",emission,d37d4cea-4096-4303-8d9d-96e48b8f9ff0,biosphere3,,,
"('biosphere3', 'cdce48e7-8c92-4214-b948-cc46a4700fe6')",cdce48e7-8c92-4214-b948-cc46a4700fe6,2-Aminopropanol,kilogram,"air; low population density, long-term",emission,cdce48e7-8c92-4214-b948-cc46a4700fe6,biosphere3,,,
"('biosphere3', 'c43cede7-18e7-49a4-aaf1-574975584a1b')",c43cede7-18e7-49a4-aaf1-574975584a1b,2-Aminopropanol,kilogram,air; lower stratosphere + upper troposphere,emission,c43cede7-18e7-49a4-aaf1-574975584a1b,biosphere3,,,
"('biosphere3', '96db42b8-64e4-4a84-9b16-cd8f73c615d6')",96db42b8-64e4-4a84-9b16-cd8f73c615d6,2-Aminopropanol,kilogram,water; surface water,emission,96db42b8-64e4-4a84-9b16-cd8f73c615d6,biosphere3,,,
"('biosphere3', 'ea6f1100-7fe4-4f66-92cc-a69fe2dcca77')",ea6f1100-7fe4-4f66-92cc-a69fe2dcca77,2-Aminopropanol,kilogram,water,emission,ea6f1100-7fe4-4f66-92cc-a69fe2dcca77,biosphere3,,,
"('biosphere3', '3e07d825-a98e-4cdc-afa3-610fa7739261')",3e07d825-a98e-4cdc-afa3-610fa7739261,2-Aminopropanol,kilogram,air,emission,3e07d825-a98e-4cdc-afa3-610fa7739261,biosphere3,,,
"('biosphere3', '3f00f5cf-1c58-428d-aef7-738f2c105e88')",3f00f5cf-1c58-428d-aef7-738f2c105e88,2-Aminopropanol,kilogram,water; ocean,emission,3f00f5cf-1c58-428d-aef7-738f2c105e88,biosphere3,,,
"('biosphere3', 'b1fa0fe9-49d4-4e1d-9502-3b2d10a313c9')",b1fa0fe9-49d4-4e1d-9502-3b2d10a313c9,2-Aminopropanol,kilogram,air; non-urban air or from high stacks,emission,b1fa0fe9-49d4-4e1d-9502-3b2d10a313c9,biosphere3,,,
"('biosphere3', 'a0fec60d-3f74-48bf-a2d2-58c30fc13e53')",a0fec60d-3f74-48bf-a2d2-58c30fc13e53,2-Aminopropanol,kilogram,air; urban air close to ground,emission,a0fec60d-3f74-48bf-a2d2-58c30fc13e53,biosphere3,,,
"('biosphere3', '2b8204fa-c9bf-5465-9aa2-d79024a19b1a')",2b8204fa-c9bf-5465-9aa2-d79024a19b1a,2-chlorobenzaldehyde,kilogram,water,emission,2b8204fa-c9bf-5465-9aa2-d79024a19b1a,biosphere3,,,
"('biosphere3', 'a0cb36a5-d726-4c6e-9787-971cc763d294')",a0cb36a5-d726-4c6e-9787-971cc763d294,2-Methyl-1-propanol,kilogram,"water; ground-, long-term",emission,a0cb36a5-d726-4c6e-9787-971cc763d294,biosphere3,,,
"('biosphere3', '79240a49-80cf-4be4-b5c2-bfdd3f4aa249')",79240a49-80cf-4be4-b5c2-bfdd3f4aa249,2-Methyl-1-propanol,kilogram,water; surface water,emission,79240a49-80cf-4be4-b5c2-bfdd3f4aa249,biosphere3,,,
"('biosphere3', 'e2d860e3-1038-4386-a5f1-25ad75d18bbd')",e2d860e3-1038-4386-a5f1-25ad75d18bbd,2-Methyl-1-propanol,kilogram,air; urban air close to ground,emission,e2d860e3-1038-4386-a5f1-25ad75d18bbd,biosphere3,,,
