process_name,process_id,process_location,process_description,exchange_name,exchange_id,exchange_flow_name,exchange_flow_id,exchange_amount,exchange_unit,exchange_type,exchange_category,exchange_description,exchange_is_input,exchange_ecoinvent_type,exchange_supplying_process_id,exchange_supplying_process_name,exchange_supplying_process_location,exchange_flow_type
"heat, from natural gas",27739daddcbc419c9332a632af99a5f3,GLO,"inventory for 1 MJ of heat production from natural gas

inventory derived from OSTI: https://www.osti.gov/servlets/purl/1509401","Natural gas, at processing, conventional, kg",8dcef86f-cf2c-4207-91aa-1398401fe8b7,"Natural gas, at processing, conventional, kg",8dcef86f-cf2c-4207-91aa-1398401fe8b7,0.0265,kilogram,TECHNOSPHERE,,,True,technosphere,8dcef86f-cf2c-4207-91aa-1398401fe8b7,"Natural gas, at processing, conventional, kg",United States,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Quicklime, at plant",9c0c2415-126f-3162-8479-f002f315a8c7,"Quicklime, at plant",9c0c2415-126f-3162-8479-f002f315a8c7,0.1264,kilogram,TECHNOSPHERE,,,True,technosphere,9c0c2415-126f-3162-8479-f002f315a8c7,"Quicklime, at plant",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Sodium chloride, at plant",5dacfb93-571f-3502-bf9e-1ce678de151d,"Sodium chloride, at plant",5dacfb93-571f-3502-bf9e-1ce678de151d,0.0223661,kilogram,TECHNOSPHERE,,,True,technosphere,5dacfb93-571f-3502-bf9e-1ce678de151d,"Sodium chloride, at plant",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Limestone, at mine",49e563d8-0cea-3f97-96b8-15787be48b91,"Limestone, at mine",49e563d8-0cea-3f97-96b8-15787be48b91,0.016,kilogram,TECHNOSPHERE,,,True,technosphere,49e563d8-0cea-3f97-96b8-15787be48b91,"Limestone, at mine",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Oxygen, liquid, at plant",7a2565f8-4a48-3263-9bc9-bcb28dbd58ad,"Oxygen, liquid, at plant",7a2565f8-4a48-3263-9bc9-bcb28dbd58ad,0.705,kilogram,TECHNOSPHERE,,,True,technosphere,7a2565f8-4a48-3263-9bc9-bcb28dbd58ad,"Oxygen, liquid, at plant",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Sodium hydroxide, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Sodium hydroxide, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,8.049e-05,kilogram,TECHNOSPHERE,,,True,technosphere,faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Chlorine, production mix, at plant",United States,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Sodium hydroxide, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Sodium hydroxide, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,0.0372,kilogram,TECHNOSPHERE,,,True,technosphere,faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Chlorine, production mix, at plant",United States,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Ammonia, steam reforming, liquid, at plant",33f08f48-349e-31f1-b600-aa7e9713ca50,"Ammonia, steam reforming, liquid, at plant",33f08f48-349e-31f1-b600-aa7e9713ca50,0.0046,kilogram,TECHNOSPHERE,,,True,technosphere,33f08f48-349e-31f1-b600-aa7e9713ca50,"Ammonia, steam reforming, liquid, at plant",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Ammonia, steam reforming, liquid, at plant",33f08f48-349e-31f1-b600-aa7e9713ca50,"Ammonia, steam reforming, liquid, at plant",33f08f48-349e-31f1-b600-aa7e9713ca50,3.38e-06,kilogram,TECHNOSPHERE,,,True,technosphere,33f08f48-349e-31f1-b600-aa7e9713ca50,"Ammonia, steam reforming, liquid, at plant",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Iron, sand casted",076898a5-e1ce-3c50-9df4-6445fc0bb6aa,"Iron, sand casted",076898a5-e1ce-3c50-9df4-6445fc0bb6aa,1.039e-05,kilogram,TECHNOSPHERE,,,True,technosphere,076898a5-e1ce-3c50-9df4-6445fc0bb6aa,"Iron, sand casted",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Chlorine, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.a1167c39-1c98-360a-b834-c22a9726c001,"Chlorine, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.a1167c39-1c98-360a-b834-c22a9726c001,3.635e-05,kilogram,TECHNOSPHERE,,,True,technosphere,faa85914-ec68-377e-aee5-0e0af4e27fc8.a1167c39-1c98-360a-b834-c22a9726c001,"Chlorine, production mix, at plant",United States,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Hydrochloric acid, at plant, kg",0d4adbb3-81bb-45c5-bf26-734c76ff3108,"Hydrochloric acid, at plant, kg",0d4adbb3-81bb-45c5-bf26-734c76ff3108,7.27e-05,kilogram,TECHNOSPHERE,,,True,technosphere,0d4adbb3-81bb-45c5-bf26-734c76ff3108,"Hydrochloric acid, HCl; MDI coproduct; at plant, 100% HCl",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Diesel, combusted in industrial equipment",d6ad7035-5498-3237-8abd-50e93b1eef89,"Diesel, combusted in industrial equipment",d6ad7035-5498-3237-8abd-50e93b1eef89,0.00074,cubic meter,TECHNOSPHERE,,,True,technosphere,d6ad7035-5498-3237-8abd-50e93b1eef89,"Diesel, combusted in industrial equipment",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Diesel, combusted in industrial equipment",d6ad7035-5498-3237-8abd-50e93b1eef89,"Diesel, combusted in industrial equipment",d6ad7035-5498-3237-8abd-50e93b1eef89,2e-06,cubic meter,TECHNOSPHERE,,,True,technosphere,d6ad7035-5498-3237-8abd-50e93b1eef89,"Diesel, combusted in industrial equipment",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Residual fuel oil, combusted in industrial boiler",9d9b6815-9349-30af-869b-57362428c42e,"Residual fuel oil, combusted in industrial boiler",9d9b6815-9349-30af-869b-57362428c42e,2.9e-05,cubic meter,TECHNOSPHERE,,,True,technosphere,9d9b6815-9349-30af-869b-57362428c42e,"Residual fuel oil, combusted in industrial boiler",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Liquefied petroleum gas, combusted in industrial boiler",4eec7a31-b920-3f91-b7c3-924f2aa92ecc,"Liquefied petroleum gas, combusted in industrial boiler",4eec7a31-b920-3f91-b7c3-924f2aa92ecc,1.39e-06,cubic meter,TECHNOSPHERE,,,True,technosphere,4eec7a31-b920-3f91-b7c3-924f2aa92ecc,"Liquefied petroleum gas, combusted in industrial boiler",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Soda powder, at plant",4cb0c558-b0ac-3656-bc1f-95b477c14921,"Soda powder, at plant",4cb0c558-b0ac-3656-bc1f-95b477c14921,0.0007189,kilogram,TECHNOSPHERE,,,True,technosphere,4cb0c558-b0ac-3656-bc1f-95b477c14921,"Soda powder, at plant",Northern America,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,6.05,megajoule,TECHNOSPHERE,,,True,technosphere,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,5.98,megajoule,TECHNOSPHERE,,,True,technosphere,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020","Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,0.668,megajoule,TECHNOSPHERE,,,True,technosphere,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,TECHNOSPHERE
Copper,c3b2244dbba5469d839dca55eb479986,GLO,"This inventory is for the production of refined Copper from sulfide ore (2% grade). Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

- material left out is ammonium nitrate (used in quantity of 0.375 kg/kg), and Baryte (BaSO4) in 0.0015 kg/kg, graphite electrodes at 0.0002, copper powder (0.0002648), nitric acid (0.0001817), hydrogen peroxide (0.0024 kg/kg)

mining is 81% diesel, 19% electricity
benefication is 100% electricty 

biosphere flows are derived from : https://doi.org/10.1016/j.resconrec.2019.03.020",treatment of waste via landfill,3b36ca69f6104ef3b17b15f224634ef3,treatment of waste via landfill,3b36ca69f6104ef3b17b15f224634ef3,106.0,kg,TECHNOSPHERE,,,True,technosphere,3b36ca69f6104ef3b17b15f224634ef3,treatment of waste via landfill,GLO,TECHNOSPHERE
coated spherical graphite,385165b086394c01affa1684f4cb51b5,GLO,life cycle inventory from https://www.sciencedirect.com/science/article/pii/S0959652622001172,spherical purified graphite,fb43cfb10df14446bd20e17f0f1bf7f1,spherical purified graphite,fb43cfb10df14446bd20e17f0f1bf7f1,1.01,kg,TECHNOSPHERE,,,True,technosphere,fb43cfb10df14446bd20e17f0f1bf7f1,spherical purified graphite,GLO,TECHNOSPHERE
coated spherical graphite,385165b086394c01affa1684f4cb51b5,GLO,life cycle inventory from https://www.sciencedirect.com/science/article/pii/S0959652622001172,"Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at grid, China",89389d98-1ba6-30c5-9c33-92443694936b_copy1,16.38,megajoule,TECHNOSPHERE,,,True,technosphere,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,TECHNOSPHERE
coated spherical graphite,385165b086394c01affa1684f4cb51b5,GLO,life cycle inventory from https://www.sciencedirect.com/science/article/pii/S0959652622001172,treatment of waste via landfill,3b36ca69f6104ef3b17b15f224634ef3,treatment of waste via landfill,3b36ca69f6104ef3b17b15f224634ef3,0.0455,kg,TECHNOSPHERE,,,True,technosphere,3b36ca69f6104ef3b17b15f224634ef3,treatment of waste via landfill,GLO,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Quicklime, at plant",9c0c2415-126f-3162-8479-f002f315a8c7,"Quicklime, at plant",9c0c2415-126f-3162-8479-f002f315a8c7,0.245,kilogram,TECHNOSPHERE,,,True,technosphere,9c0c2415-126f-3162-8479-f002f315a8c7,"Quicklime, at plant",Northern America,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Limestone, at mine",49e563d8-0cea-3f97-96b8-15787be48b91,"Limestone, at mine",49e563d8-0cea-3f97-96b8-15787be48b91,1.745,kilogram,TECHNOSPHERE,,,True,technosphere,49e563d8-0cea-3f97-96b8-15787be48b91,"Limestone, at mine",Northern America,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Sulfur, at plant",dfa7acbc-4a41-3329-951d-b6cde899c91e.48187a93-fc4e-3c80-98c2-5b0eaafc07d4,"Sulfur, at plant",dfa7acbc-4a41-3329-951d-b6cde899c91e.48187a93-fc4e-3c80-98c2-5b0eaafc07d4,0.611,kilogram,TECHNOSPHERE,,,True,technosphere,dfa7acbc-4a41-3329-951d-b6cde899c91e.48187a93-fc4e-3c80-98c2-5b0eaafc07d4,"Sulfur, at plant",Northern America,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Metallurgical coke, at plant",fb97ca58-8d24-3147-b08f-7788b67ab151,"Metallurgical coke, at plant",fb97ca58-8d24-3147-b08f-7788b67ab151,0.316,kilogram,TECHNOSPHERE,,,True,technosphere,fb97ca58-8d24-3147-b08f-7788b67ab151,"Metallurgical coke, at plant",Northern America,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Sodium hydroxide, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Sodium hydroxide, production mix, at plant",faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,0.118,kilogram,TECHNOSPHERE,,,True,technosphere,faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Chlorine, production mix, at plant",United States,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Ammonia, steam reforming, liquid, at plant",33f08f48-349e-31f1-b600-aa7e9713ca50,"Ammonia, steam reforming, liquid, at plant",33f08f48-349e-31f1-b600-aa7e9713ca50,0.638,kilogram,TECHNOSPHERE,,,True,technosphere,33f08f48-349e-31f1-b600-aa7e9713ca50,"Ammonia, steam reforming, liquid, at plant",Northern America,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Oxygen, liquid, at plant",7a2565f8-4a48-3263-9bc9-bcb28dbd58ad,"Oxygen, liquid, at plant",7a2565f8-4a48-3263-9bc9-bcb28dbd58ad,3.106,kilogram,TECHNOSPHERE,,,True,technosphere,7a2565f8-4a48-3263-9bc9-bcb28dbd58ad,"Oxygen, liquid, at plant",Northern America,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Sulfuric acid, at plant",1b6afe73-a064-33a3-87b0-265ae10851e9.f867896e-830f-31f9-975d-465b212262ef,"Sulfuric acid, at plant",1b6afe73-a064-33a3-87b0-265ae10851e9.f867896e-830f-31f9-975d-465b212262ef,0.859,kilogram,TECHNOSPHERE,,,True,technosphere,1b6afe73-a064-33a3-87b0-265ae10851e9.f867896e-830f-31f9-975d-465b212262ef,"Sulfuric acid, at plant",Northern America,TECHNOSPHERE
Nickel from sulfide ores,b0e83834598d43e6ac64ea0802f1c0a0,GLO,"This inventory is for the production of Nickel (2.05% ore grade) from sulfide ores. Based on report by Argonne National lab on LCI of critical minerals/materials (Krishnamoorthy and Kelly, 2022)

-only material left out is ammonium nitrate (used in quantity of 0.0992 kg/kg)

biosphere flows are derived from: https://link.springer.com/article/10.1007/s11367-016-1085-x/tables/2
","Hydrogen, liquid, synthesis gas, at plant",4eaec911-05e8-304e-b7a6-98ce06fc9820,"Hydrogen, liquid, synthesis gas, at plant",4eaec911-05e8-304e-b7a6-98ce06fc9820,0.07,kilogram,TECHNOSPHERE,,,True,technosphere,4eaec911-05e8-304e-b7a6-98ce06fc9820,"Hydrogen, liquid, synthesis gas, at plant",Northern America,TECHNOSPHERE
