consumer_process_id,consumer_process_name,supplier_process_id,supplier_process_name,supplier_location,input_flow_name,input_flow_unit,note
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",89389d98-1ba6-30c5-9c33-92443694936b_copy2,"Electricity, at Grid, US, 2023",Northern America,"Electricity, at grid 2023",megajoule,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",3b36ca69f6104ef3b17b15f224634ef3,treatment of waste via landfill,GLO,treatment of waste via landfill,kg,Supplier process_id not found in new USLCI extract
aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",36dd792924424c608fcae616112faf13,praseodymium/neodymium,GLO,praseodymium/neodymium,kg,Supplier process_id not found in new USLCI extract
1648517c352b49f2843225d13a0e8fd0,offshore wind_kwh,aeee3498803b4c5d8b9646fe53e0bdf2_copy4,"Wind, offshore baseline EOL no credits",GLO,"Wind, offshore baeline EOL no credits",MW,Supplier process_id not found in new USLCI extract
8bee97ef416246918a4ff79714240ac9_copy1,GLOBAl 2050 decarbonized electricity grid,fac6f07298cb413eae8b34ee41d999e8,PV_kwh,GLO,PV_kwh,kwh,Supplier process_id not found in new USLCI extract
8bee97ef416246918a4ff79714240ac9_copy1,GLOBAl 2050 decarbonized electricity grid,e5391cfef1ae42c196256ab3f747b7f7,onshore wind_kwh,GLO,onshore wind_kwh,kwh,Supplier process_id not found in new USLCI extract
8bee97ef416246918a4ff79714240ac9_copy1,GLOBAl 2050 decarbonized electricity grid,879845c3-84fa-3f85-9f3d-a8510f950732,"Electricity, natural gas, at power plant",Northern America,"Electricity, natural gas, at power plant",megajoule,Supplier process_id not found in new USLCI extract
8bee97ef416246918a4ff79714240ac9_copy1,GLOBAl 2050 decarbonized electricity grid,dfdb7eba-dfc4-3d24-9683-58b8b0ee1346.64360b9b-adc0-3154-b391-40f2a09891d4,"Electricity, biomass, at power plant",Northern America,"Electricity, biomass, at power plant",megajoule,Supplier process_id not found in new USLCI extract
8bee97ef416246918a4ff79714240ac9_copy1,GLOBAl 2050 decarbonized electricity grid,6984791343d14db78acacc1316d6b341,LFP battery kwh,GLO,LFP battery kwh,kwh,Supplier process_id not found in new USLCI extract
21bafe812be94eeaa9270b20b9dd6115,lithium hydroxide ,ac90960d53f34ebeb7cdf233576abb4a,lithium carbonate,GLO,lithium carbonate,kg,Supplier process_id not found in new USLCI extract
21bafe812be94eeaa9270b20b9dd6115,lithium hydroxide ,7b7babef-a97a-3510-88f2-ee70aa1fa03b,"Natural gas, combusted in industrial equipment",Northern America,"Natural gas, combusted in industrial equipment, 1.357 m3/kg, 52.13 MJ/kg",cubic meter,Supplier process_id not found in new USLCI extract
